R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Jared Cannonier,Kelvin Gastelum,-150,+130,66.66666666666666,+130,2021-08-21,"Las Vegas, Nevada, USA",USA,,False,Middleweight,MALE,5,1,0,0,3.52,0.42,0.1,1.16,0.37,5,7,52,1,0,3,3,3,2,0,11,Southpaw,175.26,180.34,185,1,0,0,3.7,0.52,0.0,0.16,0.33,3,5,23,0,0,0,1,5,0,0,6,Switch,180.34,195.58,185,37,29,0,0,2,5,2,29,1,-2,2,-5.0800000000000125,-15.240000000000007,-8,-0.1800000000000001,0.1,1.0,0,1,9.0,3.0,,,,,,,3.0,,,,,,,,,,,,,9.0,,,,,,,Red,,,,,,+275,+250,+1600,+1100,+165,+600
Clay Guida,Mark Madsen,+140,-160,+140,62.5,2021-08-21,"Las Vegas, Nevada, USA",USA,,False,Lightweight,MALE,3,0,2,0,2.28,0.42,0.0,8.33,0.64,2,0,4,0,0,0,1,1,0,0,2,Orthodox,172.72,182.88,155,0,1,0,2.44,0.34,0.7,3.36,0.38,4,15,90,0,0,3,9,2,4,0,18,Orthodox,170.18,177.8,155,39,36,0,1,-2,-16,-15,-86,0,-1,-4,2.539999999999992,5.079999999999984,-3,-0.1600000000000001,-0.7,4.970000000000001,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+275,+120,+1000,+550,+700,+650
Parker Porter,Chase Sherman,+160,-190,+160,52.63157894736842,2021-08-21,"Las Vegas, Nevada, USA",USA,,False,Heavyweight,MALE,3,1,0,0,6.0,0.45,0.0,0.0,0.0,2,6,22,0,0,0,1,2,0,0,3,Orthodox,193.04,198.12,250,0,1,0,7.69,0.49,1.1,1.65,0.6,1,1,4,0,0,0,1,0,0,0,1,Orthodox,182.88,190.5,265,36,31,1,-1,1,2,5,18,0,2,0,10.159999999999997,7.620000000000003,-5,-1.6900000000000004,-1.1,-1.65,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+450,+300,+800,+1600,+450,+120
Trevin Jones,Saidyokub Kakhramonov,,,,,2021-08-21,"Las Vegas, Nevada, USA",USA,,False,Bantamweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,135,0,1,0,3.84,0.61,0.0,1.17,0.2,1,0,4,0,0,0,0,1,0,0,1,Southpaw,170.18,177.8,135,31,25,0,-1,-1,-1,0,-4,0,-1,0,2.539999999999992,-5.0800000000000125,-6,-3.84,0.0,-1.17,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Vinc Pichel,Austin Hubbard,-105,-115,95.23809523809523,86.95652173913044,2021-08-21,"Las Vegas, Nevada, USA",USA,,False,Lightweight,MALE,3,0,1,0,3.66,0.5,0.0,0.81,0.66,1,3,15,0,0,0,2,1,0,0,3,Orthodox,177.8,180.34,155,0,2,0,3.2,0.46,0.3,3.83,0.6,4,2,19,0,0,0,5,1,0,0,6,Orthodox,177.8,182.88,155,38,29,0,-1,-3,-3,1,-4,0,0,0,0.0,-2.539999999999992,-9,0.4599999999999999,-0.3,-3.02,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+140,+180,+2000,+1200,+600,+450
Alexandre Pantoja,Brandon Royval,-180,+155,55.55555555555556,+155,2021-08-21,"Las Vegas, Nevada, USA",USA,,False,Flyweight,MALE,3,1,0,0,3.77,0.46,2.4,0.79,1.0,2,1,5,0,0,0,0,0,2,0,2,Southpaw,175.26,172.72,125,0,1,0,4.3,0.47,0.9,0.94,0.35,3,3,24,0,0,1,2,2,2,0,7,Orthodox,165.1,170.18,125,31,29,1,-1,-1,-5,-2,-19,0,-2,0,10.159999999999997,2.539999999999992,-2,-0.5299999999999998,1.5,-0.1499999999999999,0,1,6.0,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,6.0,,Red,,,,,,+165,+330,+500,+500,+350,+1100
Austin Lingo,Luis Saldana,+110,-130,+110,76.92307692307693,2021-08-21,"Las Vegas, Nevada, USA",USA,,False,Featherweight,MALE,3,0,2,0,4.39,0.51,0.6,0.0,0.0,2,0,6,0,0,0,1,1,0,0,2,Orthodox,180.34,185.42,145,0,1,0,3.57,0.44,0.0,1.0,0.66,1,1,6,0,0,0,1,0,0,0,1,Orthodox,177.8,177.8,145,27,30,0,1,1,1,-1,0,0,1,0,2.539999999999992,7.620000000000003,3,0.8199999999999998,0.6,-1.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+250,+240,+900,+500,+450,+350
Brian Kelleher,Domingo Pilarte,-170,+150,58.82352941176471,+150,2021-08-21,"Las Vegas, Nevada, USA",USA,,False,Bantamweight,MALE,3,1,0,0,2.04,0.5,1.3,2.0,0.42,1,1,6,0,0,0,0,0,1,0,1,Southpaw,182.88,185.42,135,1,0,0,3.92,0.39,0.7,1.0,0.25,2,5,22,0,0,0,1,2,3,0,6,Switch,167.64,167.64,135,35,31,0,0,-1,-5,-4,-16,0,-2,-2,15.23999999999998,17.78,-4,-1.88,0.6000000000000001,1.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+400,+400,+250,+450,+250,+800
Bea Malecki,Josiane Nunes,-155,+135,64.51612903225806,+135,2021-08-21,"Las Vegas, Nevada, USA",USA,,False,Women's Bantamweight,FEMALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,157.48,170.18,135,0,2,0,6.78,0.46,1.4,0.0,0.0,2,0,5,0,0,0,1,0,1,0,2,Orthodox,175.26,187.96,135,29,27,0,-2,-2,-2,0,-5,0,0,-1,-17.78,-17.78,-2,-6.78,-1.4,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+165,+300,+500,+2000,+400,+400
William Knight,Fabio Cherant,-170,+150,58.82352941176471,+150,2021-08-21,"Las Vegas, Nevada, USA",USA,,False,Light Heavyweight,MALE,3,2,0,0,1.0,0.3,0.0,0.0,0.0,0,2,3,0,0,0,0,0,0,0,0,Southpaw,185.42,185.42,205,1,0,0,3.56,0.74,0.3,2.56,0.53,3,1,10,0,0,0,1,2,0,0,3,Orthodox,177.8,185.42,205,33,26,1,0,-3,-3,1,-7,0,-2,0,7.620000000000003,0.0,-7,-2.56,-0.3,-2.56,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+350,+450,+1400,+400,+120,+900
